question,answer
What is 6311 plus 6890?,13201
What is 663 plus 4242?,4905
What is 8376 plus 7961?,16337
What is 6634 plus 4969?,11603
What is 7808 plus 5866?,13674
What is 9558 plus 3578?,13136
What is 8268 plus 2281?,10549
What is 4617 plus 2289?,6906
What is 1553 plus 4104?,5657
What is 8725 plus 9861?,18586
What is 2407 plus 5081?,7488
What is 1618 plus 1208?,2826
What is 5409 plus 7735?,13144
What is 9171 plus 1649?,10820
What is 5796 plus 7113?,12909
What is 5180 plus 3350?,8530
What is 9052 plus 7815?,16867
What is 7253 plus 8541?,15794
What is 4267 plus 1020?,5287
What is 8989 plus 230?,9219
What is 1528 plus 6534?,8062
What is 18 plus 8086?,8104
What is 5458 plus 3996?,9454
What is 5328 plus 1031?,6359
What is 3130 plus 9298?,12428
What is 3632 plus 3909?,7541
What is 2334 plus 8896?,11230
What is 7339 plus 1494?,8833
What is 1318 plus 5243?,6561
What is 8322 plus 8016?,16338
What is 1786 plus 4938?,6724
What is 9031 plus 4769?,13800
What is 2044 plus 8969?,11013
What is 5451 plus 8852?,14303
What is 3329 plus 9882?,13211
What is 8965 plus 9627?,18592
What is 4712 plus 7290?,12002
What is 1501 plus 9769?,11270
What is 6306 plus 5194?,11500
What is 9431 plus 3966?,13397
What is 4756 plus 3012?,7768
What is 3102 plus 3059?,6161
What is 540 plus 4260?,4800
What is 7807 plus 1131?,8938
What is 1471 plus 2133?,3604
What is 2450 plus 633?,3083
What is 1314 plus 8857?,10171
What is 6410 plus 8594?,15004
What is 4515 plus 8549?,13064
What is 3858 plus 3525?,7383
What is 9663 plus 6871?,16534
What is 9497 plus 4509?,14006
What is 7382 plus 8071?,15453
What is 5855 plus 1349?,7204
What is 5313 plus 1889?,7202
What is 7969 plus 9618?,17587
What is 5493 plus 3119?,8612
What is 3981 plus 265?,4246
What is 4440 plus 1919?,6359
What is 3612 plus 6095?,9707
What is 2793 plus 5448?,8241
What is 6981 plus 1018?,7999
What is 1648 plus 2397?,4045
What is 3584 plus 741?,4325
What is 9402 plus 8752?,18154
What is 9865 plus 1212?,11077
What is 437 plus 2038?,2475
What is 3088 plus 9934?,13022
What is 9436 plus 1961?,11397
What is 6409 plus 1499?,7908
What is 6064 plus 1901?,7965
What is 596 plus 9920?,10516
What is 354 plus 3188?,3542
What is 3030 plus 2029?,5059
What is 7851 plus 3450?,11301
What is 1000 plus 373?,1373
What is 8916 plus 6973?,15889
What is 1662 plus 4258?,5920
What is 1146 plus 3618?,4764
What is 1179 plus 4932?,6111
What is 5739 plus 7144?,12883
What is 2954 plus 1000?,3954
What is 8251 plus 7653?,15904
What is 645 plus 9772?,10417
What is 1653 plus 6410?,8063
What is 3266 plus 4262?,7528
What is 5874 plus 7704?,13578
What is 9335 plus 2775?,12110
What is 3332 plus 951?,4283
What is 2592 plus 2653?,5245
What is 5608 plus 8674?,14282
What is 4107 plus 1920?,6027
What is 9777 plus 7246?,17023
What is 2864 plus 216?,3080
What is 7727 plus 6715?,14442
What is 9324 plus 8332?,17656
What is 5102 plus 5851?,10953
What is 6367 plus 4111?,10478
What is 2513 plus 9184?,11697
What is 203 plus 7503?,7706
What is 1295 plus 5503?,6798
What is 748 plus 8918?,9666
What is 4601 plus 2209?,6810
What is 3934 plus 7894?,11828
What is 5770 plus 9996?,15766
What is 4716 plus 5885?,10601
What is 9671 plus 2168?,11839
What is 5083 plus 6357?,11440
What is 6789 plus 1322?,8111
What is 24 plus 9741?,9765
What is 3150 plus 5478?,8628
What is 2622 plus 3922?,6544
What is 3655 plus 7342?,10997
What is 6203 plus 9308?,15511
What is 6789 plus 516?,7305
What is 6590 plus 9297?,15887
What is 6852 plus 766?,7618
What is 2714 plus 7296?,10010
What is 1046 plus 4247?,5293
What is 2583 plus 7313?,9896
What is 8643 plus 7983?,16626
What is 9198 plus 9895?,19093
What is 1 plus 637?,638
What is 8103 plus 5340?,13443
What is 5112 plus 7649?,12761
What is 816 plus 6801?,7617
What is 3080 plus 8987?,12067
What is 1367 plus 2138?,3505
What is 241 plus 6583?,6824
What is 6840 plus 5180?,12020
What is 55 plus 3498?,3553
What is 234 plus 38?,272
What is 8656 plus 1602?,10258
What is 3120 plus 1948?,5068
What is 9967 plus 3252?,13219
What is 4954 plus 4587?,9541
What is 2985 plus 1641?,4626
What is 7792 plus 6499?,14291
What is 1332 plus 357?,1689
What is 4500 plus 7421?,11921
What is 1896 plus 4202?,6098
What is 2185 plus 8533?,10718
What is 5686 plus 1885?,7571
What is 2530 plus 4561?,7091
What is 304 plus 693?,997
What is 666 plus 3370?,4036
What is 4254 plus 9148?,13402
What is 5156 plus 6011?,11167
What is 9297 plus 688?,9985
What is 9954 plus 8101?,18055
What is 7514 plus 7134?,14648
What is 6102 plus 8813?,14915
What is 2921 plus 3405?,6326
What is 6153 plus 9619?,15772
What is 4768 plus 145?,4913
What is 2268 plus 2474?,4742
What is 4446 plus 5462?,9908
What is 5529 plus 6016?,11545
What is 1535 plus 5541?,7076
What is 584 plus 675?,1259
What is 4417 plus 2684?,7101
What is 2448 plus 9559?,12007
What is 4743 plus 5913?,10656
What is 6468 plus 8986?,15454
What is 2124 plus 4807?,6931
What is 1882 plus 7832?,9714
What is 3927 plus 790?,4717
What is 5044 plus 2942?,7986
What is 8569 plus 1161?,9730
What is 4958 plus 6605?,11563
What is 5382 plus 4902?,10284
What is 6794 plus 1780?,8574
What is 1628 plus 9188?,10816
What is 7883 plus 7766?,15649
What is 5522 plus 5630?,11152
What is 2036 plus 7849?,9885
What is 1900 plus 8154?,10054
What is 6988 plus 619?,7607
