question,answer
What is 6 - (6 * 0)?,6
What is 7 - (6 - 4)?,5
What is 9 + (3 - 8)?,4
What is 2 - (1 * 9)?,-7
What is 9 + (2 * 4)?,17
What is 1 * (5 + 7)?,12
What is 5 * (6 * 5)?,150
What is 3 - (8 * 7)?,-53
What is 4 + (0 + 8)?,12
What is 6 - (0 - 9)?,15
What is 3 + (5 * 1)?,8
What is 3 * (3 - 2)?,3
What is 1 * (1 - 5)?,-4
What is 1 - (4 * 8)?,-31
What is 1 * (8 + 5)?,13
What is 9 - (8 - 9)?,10
What is 1 - (9 * 6)?,-53
What is 3 + (4 + 2)?,9
What is 0 - (9 + 4)?,-13
What is 1 + (2 + 2)?,5
What is 8 - (6 * 8)?,-40
What is 3 - (3 * 9)?,-24
What is 4 * (7 * 7)?,196
What is 5 * (1 + 5)?,30
What is 7 + (9 + 5)?,21
What is 0 * (4 + 1)?,0
What is 5 - (2 + 5)?,-2
What is 1 + (2 * 3)?,7
What is 8 + (9 + 1)?,18
What is 3 + (9 - 9)?,3
What is 1 + (5 * 1)?,6
What is 0 * (3 + 2)?,0
What is 7 * (3 + 0)?,21
What is 8 + (6 - 9)?,5
What is 1 * (3 - 1)?,2
What is 5 + (6 * 2)?,17
What is 7 + (0 * 9)?,7
What is 6 - (3 * 4)?,-6
What is 7 * (9 * 2)?,126
What is 3 + (0 - 2)?,1
What is 8 * (4 - 1)?,24
What is 2 * (0 - 7)?,-14
What is 9 * (8 - 4)?,36
What is 6 * (4 * 2)?,48
What is 0 - (7 * 1)?,-7
What is 0 + (8 + 4)?,12
What is 7 - (5 * 9)?,-38
What is 5 + (9 * 9)?,86
What is 4 * (6 + 6)?,48
What is 0 * (9 - 3)?,0
What is 2 * (3 - 3)?,0
What is 6 + (9 - 6)?,9
What is 9 + (6 - 0)?,15
What is 1 - (4 * 2)?,-7
What is 7 + (8 + 9)?,24
What is 7 - (5 + 4)?,-2
What is 6 * (3 + 8)?,66
What is 2 * (0 - 6)?,-12
What is 5 + (0 * 3)?,5
What is 0 + (8 + 9)?,17
What is 1 - (9 - 3)?,-5
What is 2 - (1 * 7)?,-5
What is 1 - (0 + 4)?,-3
What is 4 * (2 * 8)?,64
What is 5 - (1 + 2)?,2
What is 0 * (0 - 3)?,0
What is 8 * (5 + 5)?,80
What is 9 * (7 - 7)?,0
What is 5 + (8 - 2)?,11
What is 9 + (4 + 0)?,13
What is 4 - (5 * 5)?,-21
What is 1 + (5 + 9)?,15
What is 4 * (2 - 2)?,0
What is 5 + (6 - 8)?,3
What is 1 + (7 - 3)?,5
What is 2 - (8 - 1)?,-5
What is 5 + (4 + 6)?,15
What is 8 - (7 - 7)?,8
What is 1 * (7 - 1)?,6
What is 6 - (0 * 4)?,6
What is 2 - (2 * 9)?,-16
What is 1 + (1 * 1)?,2
What is 3 + (0 + 6)?,9
What is 6 - (8 - 8)?,6
What is 7 - (9 + 3)?,-5
What is 5 * (3 + 4)?,35
What is 6 + (3 + 5)?,14
What is 0 * (8 + 7)?,0
What is 1 - (7 + 6)?,-12
What is 0 + (3 + 9)?,12
What is 3 - (7 * 6)?,-39
What is 2 - (1 + 9)?,-8
What is 9 * (6 - 6)?,0
What is 5 * (7 * 7)?,245
What is 3 + (8 + 9)?,20
What is 5 + (5 * 5)?,30
What is 2 + (4 - 9)?,-3
What is 9 + (4 + 7)?,20
What is 8 + (0 + 1)?,9
What is 0 - (4 - 0)?,-4
What is 2 - (2 * 7)?,-12
What is 6 + (8 * 8)?,70
What is 1 + (8 * 9)?,73
What is 6 * (3 * 4)?,72
What is 6 * (7 * 6)?,252
What is 3 * (0 + 0)?,0
What is 4 - (8 - 9)?,5
What is 1 - (7 - 4)?,-2
What is 6 + (6 * 0)?,6
What is 2 * (3 - 4)?,-2
What is 0 - (0 + 7)?,-7
What is 7 * (9 * 1)?,63
What is 2 + (5 * 6)?,32
What is 7 + (6 + 7)?,20
What is 7 + (2 * 0)?,7
What is 9 + (2 * 5)?,19
What is 8 - (5 - 3)?,6
What is 1 * (0 - 9)?,-9
What is 9 * (5 * 1)?,45
